date,CO,NO,NOX,NO2,O3,PM10,PM25,RH,SO2,TMP,WDR,WSP,year,month,day,hour,minute,traffic,contingency
0,2024-03-20,0.296296296296,0.129518072289,0.26586102719,0.420560747664,0.007194244604,0.360544217687,0.178571428571,0.393258426966,0.054054054054,0.478260869565,0.016666666667,0.242424242424,2024,0.7,20,0.391304347826,0,1.0,0
1,2024-03-20,0.217283950617,0.012048192771,0.114803625378,0.317757009346,0.086330935252,0.224489795918,0.22619047619,0.449438202247,0.027027027027,0.478260869565,0.297222222222,0.106060606061,2024,0.7,20,0.347826086957,0,1.0,0
2,2024-03-20,0.266666666667,0.036144578313,0.160120845921,0.383177570093,0.035971223022,0.299319727891,0.22619047619,0.47191011236,0.027027027027,0.434782608696,0.361111111111,0.151515151515,2024,0.7,20,0.304347826087,0,1.0,0
3,2024-03-20,0.212345679012,0.012048192771,0.126888217523,0.355140186916,0.043165467626,0.319727891156,0.345238095238,0.483146067416,0.027027027027,0.434782608696,0.336111111111,0.060606060606,2024,0.7,20,0.260869565217,0,1.0,0
4,2024-03-20,0.2,0.015060240964,0.114803625378,0.308411214953,0.05035971223,0.272108843537,0.297619047619,0.483146067416,0.027027027027,0.434782608696,0.313888888889,0.090909090909,2024,0.7,20,0.173913043478,0,1.0,0
5,2024-03-20,0.204938271605,0.05421686747,0.154078549849,0.308411214953,0.028776978417,0.251700680272,0.27380952381,0.494382022472,0.027027027027,0.391304347826,0.291666666667,0.075757575758,2024,0.7,20,0.130434782609,0,1.0,0
6,2024-03-20,0.281481481481,0.135542168675,0.250755287009,0.355140186916,0.007194244604,0.238095238095,0.261904761905,0.516853932584,0.027027027027,0.347826086957,0.405555555556,0.166666666667,2024,0.7,20,0.04347826087,0,1.0,0
7,2024-03-20,0.456790123457,0.331325301205,0.444108761329,0.336448598131,0.007194244604,0.326530612245,0.369047619048,0.52808988764,0.081081081081,0.347826086957,0.308333333333,0.121212121212,2024,0.7,20,0.0,0,0.98,0
8,2024-03-20,0.627160493827,0.352409638554,0.471299093656,0.364485981308,0.014388489209,0.319727891156,0.27380952381,0.52808988764,0.081081081081,0.347826086957,0.477777777778,0.136363636364,2024,0.7,20,0.086956521739,0,0.82,0
9,2024-03-20,0.42962962963,0.168674698795,0.308157099698,0.429906542056,0.05035971223,0.387755102041,0.297619047619,0.460674157303,0.081081081081,0.434782608696,0.888888888889,0.181818181818,2024,0.7,20,0.217391304348,0,0.96,0
10,2024-03-20,0.330864197531,0.090361445783,0.232628398792,0.439252336449,0.129496402878,0.367346938776,0.321428571429,0.38202247191,0.135135135135,0.521739130435,0.902777777778,0.242424242424,2024,0.7,20,0.521739130435,0,0.96,0
11,2024-03-20,0.291358024691,0.048192771084,0.187311178248,0.429906542056,0.26618705036,0.374149659864,0.333333333333,0.359550561798,0.108108108108,0.565217391304,0.011111111111,0.333333333333,2024,0.7,20,0.695652173913,0,0.97,0
12,2024-03-20,0.207407407407,0.012048192771,0.093655589124,0.252336448598,0.489208633094,0.380952380952,0.392857142857,0.325842696629,0.162162162162,0.608695652174,0.088888888889,0.348484848485,2024,0.7,20,0.782608695652,0,0.93,0
