date,CO,NO,NOX,NO2,O3,PM10,PM25,RH,SO2,TMP,WDR,WSP,year,month,day,hour,minute,traffic
2024/02/23 14:00,0.62,2.0,32.0,30.0,110.0,46.0,26.0,7.0,2.0,26.0,293.0,2.1,2024,2,23,14,0,0.899066665271918
2024/02/23 15:00,0.76,2.0,44.0,41.0,125.0,52.0,35.0,4.0,2.0,28.0,276.0,1.8,2024,2,23,15,0,0.778272726319053
2024/02/23 16:00,0.56,1.0,32.0,31.0,133.0,56.0,39.0,2.0,2.0,29.0,39.0,2.1,2024,2,23,16,0,0.9826842138641759
2024/02/23 17:00,0.41,0.0,22.0,22.0,127.0,47.0,35.0,0.0,1.0,29.0,46.0,2.0,2024,2,23,17,0,0.7532499879598618
2024/02/26 14:00,0.33,2.0,17.0,15.0,55.0,25.0,17.0,6.0,0.0,27.0,56.0,2.3,2024,2,26,14,0,0.7698571412336259
2024/02/26 15:00,0.33,2.0,17.0,15.0,63.0,14.0,,5.0,0.0,28.0,332.0,2.2,2024,2,26,15,0,0.7548888872067133
2024/02/26 16:00,0.39,4.0,22.0,18.0,61.0,23.0,11.0,4.0,0.0,29.0,297.0,,2024,2,26,16,0,0.7078888879881965
2024/02/26 17:00,0.53,8.0,36.0,29.0,60.0,27.0,1.0,4.0,1.0,29.0,307.0,2.5,2024,2,26,17,0,0.9482999980449677
2024/02/26 18:00,0.6,8.0,40.0,32.0,52.0,26.0,10.0,4.0,0.0,29.0,278.0,2.7,2024,2,26,18,0,1.0
2024/02/26 19:00,0.9,13.0,63.0,50.0,28.0,30.0,11.0,5.0,1.0,28.0,328.0,2.4,2024,2,26,19,0,0.9343636361035433
2024/02/26 20:00,0.81,6.0,58.0,52.0,29.0,60.0,12.0,13.0,1.0,26.0,44.0,2.8,2024,2,26,20,0,1.0
2024/02/26 21:00,0.86,26.0,90.0,65.0,16.0,56.0,16.0,19.0,1.0,24.0,43.0,2.6,2024,2,26,21,0,1.0
2024/02/26 22:00,0.67,7.0,50.0,42.0,7.0,64.0,22.0,18.0,0.0,22.0,16.0,2.5,2024,2,26,22,0,1.0
2024/02/26 23:00,0.88,21.0,62.0,41.0,3.0,39.0,12.0,19.0,1.0,22.0,323.0,1.8,2024,2,26,23,0,1.0
2024/02/27 13:00,0.61,5.0,33.0,29.0,66.0,60.0,48.0,13.0,3.0,26.0,307.0,1.8,2024,2,27,13,0,0.846727273680947
